Sat Jun  8 21:25:59 2013, (0 clock):	Start log file
Sat Jun  8 21:25:59 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:25:59 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:25:59 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:25:59 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 22:23:14 2013, (3288020000 clock):	172000 evaluated; 0 wrong controls; 42140 violate mass constrain.
Sat Jun  8 22:23:34 2013, (3306960000 clock):	173000 evaluated; 0 wrong controls; 42420 violate mass constrain.
Sat Jun  8 22:23:54 2013, (3325930000 clock):	174000 evaluated; 0 wrong controls; 42676 violate mass constrain.
Sat Jun  8 22:24:13 2013, (3344660000 clock):	175000 evaluated; 0 wrong controls; 42926 violate mass constrain.
Sat Jun  8 22:24:32 2013, (3362940000 clock):	176000 evaluated; 0 wrong controls; 43158 violate mass constrain.
Sat Jun  8 22:24:52 2013, (3381650000 clock):	177000 evaluated; 0 wrong controls; 43405 violate mass constrain.
Sat Jun  8 22:25:11 2013, (3399940000 clock):	178000 evaluated; 0 wrong controls; 43666 violate mass constrain.
Sat Jun  8 22:25:31 2013, (3418910000 clock):	179000 evaluated; 0 wrong controls; 43916 violate mass constrain.
Sat Jun  8 22:25:50 2013, (3437540000 clock):	180000 evaluated; 0 wrong controls; 44161 violate mass constrain.
Sat Jun  8 22:26:10 2013, (3455680000 clock):	181000 evaluated; 0 wrong controls; 44425 violate mass constrain.
Sat Jun  8 22:26:28 2013, (3473840000 clock):	182000 evaluated; 0 wrong controls; 44698 violate mass constrain.
Sat Jun  8 22:26:48 2013, (3492490000 clock):	183000 evaluated; 0 wrong controls; 44966 violate mass constrain.
Sat Jun  8 22:27:08 2013, (3511410000 clock):	184000 evaluated; 0 wrong controls; 45228 violate mass constrain.
Sat Jun  8 22:27:27 2013, (3529530000 clock):	185000 evaluated; 0 wrong controls; 45484 violate mass constrain.
Sat Jun  8 22:27:47 2013, (3548190000 clock):	186000 evaluated; 0 wrong controls; 45745 violate mass constrain.
Sat Jun  8 22:28:07 2013, (3567310000 clock):	187000 evaluated; 0 wrong controls; 45987 violate mass constrain.
Sat Jun  8 22:28:26 2013, (3585660000 clock):	188000 evaluated; 0 wrong controls; 46243 violate mass constrain.
Sat Jun  8 22:28:45 2013, (3604030000 clock):	189000 evaluated; 0 wrong controls; 46516 violate mass constrain.
Sat Jun  8 22:29:05 2013, (3623050000 clock):	190000 evaluated; 0 wrong controls; 46765 violate mass constrain.
Sat Jun  8 22:29:25 2013, (3641960000 clock):	191000 evaluated; 0 wrong controls; 47005 violate mass constrain.
Sat Jun  8 22:29:45 2013, (3661060000 clock):	192000 evaluated; 0 wrong controls; 47254 violate mass constrain.
Sat Jun  8 22:30:05 2013, (3680270000 clock):	193000 evaluated; 0 wrong controls; 47475 violate mass constrain.
Sat Jun  8 22:30:25 2013, (3698590000 clock):	194000 evaluated; 0 wrong controls; 47716 violate mass constrain.
Sat Jun  8 22:30:44 2013, (3717470000 clock):	195000 evaluated; 0 wrong controls; 47966 violate mass constrain.
Sat Jun  8 22:31:04 2013, (3736210000 clock):	196000 evaluated; 0 wrong controls; 48196 violate mass constrain.
