Thu Jul  4 11:44:15 2013, (0 clock):	Start log file
Thu Jul  4 11:44:15 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:15 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:15 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 12:47:17 2013, (3709840000 clock):	174000 evaluated; 0 wrong controls; 79987 violate mass constrain.
Thu Jul  4 12:47:40 2013, (3732490000 clock):	175000 evaluated; 0 wrong controls; 80400 violate mass constrain.
Thu Jul  4 12:48:03 2013, (3754990000 clock):	176000 evaluated; 0 wrong controls; 80810 violate mass constrain.
Thu Jul  4 12:48:21 2013, (3773010000 clock):	177000 evaluated; 0 wrong controls; 81405 violate mass constrain.
Thu Jul  4 12:48:31 2013, (3782080000 clock):	178000 evaluated; 0 wrong controls; 82399 violate mass constrain.
Thu Jul  4 12:48:52 2013, (3803100000 clock):	179000 evaluated; 0 wrong controls; 82887 violate mass constrain.
Thu Jul  4 12:49:18 2013, (3828550000 clock):	180000 evaluated; 0 wrong controls; 83141 violate mass constrain.
Thu Jul  4 12:49:44 2013, (3853910000 clock):	181000 evaluated; 0 wrong controls; 83411 violate mass constrain.
Thu Jul  4 12:50:08 2013, (3878180000 clock):	182000 evaluated; 0 wrong controls; 83739 violate mass constrain.
Thu Jul  4 12:50:32 2013, (3901900000 clock):	183000 evaluated; 0 wrong controls; 84069 violate mass constrain.
Thu Jul  4 12:50:56 2013, (3925510000 clock):	184000 evaluated; 0 wrong controls; 84411 violate mass constrain.
Thu Jul  4 12:51:20 2013, (3948210000 clock):	185000 evaluated; 0 wrong controls; 84767 violate mass constrain.
Thu Jul  4 12:51:43 2013, (3971390000 clock):	186000 evaluated; 0 wrong controls; 85153 violate mass constrain.
Thu Jul  4 12:52:03 2013, (3990860000 clock):	187000 evaluated; 0 wrong controls; 85667 violate mass constrain.
Thu Jul  4 12:52:12 2013, (3999650000 clock):	188000 evaluated; 0 wrong controls; 86667 violate mass constrain.
Thu Jul  4 12:52:24 2013, (4011610000 clock):	189000 evaluated; 0 wrong controls; 87521 violate mass constrain.
Thu Jul  4 12:52:49 2013, (4036170000 clock):	190000 evaluated; 0 wrong controls; 87819 violate mass constrain.
Thu Jul  4 12:53:14 2013, (4060550000 clock):	191000 evaluated; 0 wrong controls; 88160 violate mass constrain.
Thu Jul  4 12:53:39 2013, (4084670000 clock):	192000 evaluated; 0 wrong controls; 88542 violate mass constrain.
Thu Jul  4 12:54:03 2013, (4108260000 clock):	193000 evaluated; 0 wrong controls; 88923 violate mass constrain.
