Wed Jun  5 13:58:13 2013, (0 clock):	Start log file
Wed Jun  5 13:58:13 2013, (0 clock):	Parameters loaded.
Wed Jun  5 13:58:13 2013, (0 clock):	controls:
  bounds:
    - 400
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Wed Jun  5 14:09:51 2013, (654700000 clock):	174000 evaluated; 0 wrong controls; 174000 violate mass constrain.
Wed Jun  5 14:09:56 2013, (658820000 clock):	175000 evaluated; 0 wrong controls; 175000 violate mass constrain.
Wed Jun  5 14:10:00 2013, (662530000 clock):	176000 evaluated; 0 wrong controls; 176000 violate mass constrain.
Wed Jun  5 14:10:04 2013, (666290000 clock):	177000 evaluated; 0 wrong controls; 177000 violate mass constrain.
Wed Jun  5 14:10:08 2013, (670190000 clock):	178000 evaluated; 0 wrong controls; 178000 violate mass constrain.
Wed Jun  5 14:10:12 2013, (673930000 clock):	179000 evaluated; 0 wrong controls; 179000 violate mass constrain.
Wed Jun  5 14:10:16 2013, (677710000 clock):	180000 evaluated; 0 wrong controls; 180000 violate mass constrain.
Wed Jun  5 14:10:20 2013, (681420000 clock):	181000 evaluated; 0 wrong controls; 181000 violate mass constrain.
Wed Jun  5 14:10:24 2013, (685200000 clock):	182000 evaluated; 0 wrong controls; 182000 violate mass constrain.
Wed Jun  5 14:10:28 2013, (688910000 clock):	183000 evaluated; 0 wrong controls; 183000 violate mass constrain.
Wed Jun  5 14:10:32 2013, (692630000 clock):	184000 evaluated; 0 wrong controls; 184000 violate mass constrain.
