Wed Jul  3 17:51:00 2013, (0 clock):	Start log file
Wed Jul  3 17:51:00 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:00 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:00 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 18:20:35 2013, (1691220000 clock):	179000 evaluated; 0 wrong controls; 178124 violate mass constrain.
Wed Jul  3 18:20:44 2013, (1700680000 clock):	180000 evaluated; 0 wrong controls; 179116 violate mass constrain.
Wed Jul  3 18:20:56 2013, (1711850000 clock):	181000 evaluated; 0 wrong controls; 180113 violate mass constrain.
Wed Jul  3 18:21:06 2013, (1720950000 clock):	182000 evaluated; 0 wrong controls; 181110 violate mass constrain.
Wed Jul  3 18:21:16 2013, (1730170000 clock):	183000 evaluated; 0 wrong controls; 182104 violate mass constrain.
Wed Jul  3 18:21:25 2013, (1739110000 clock):	184000 evaluated; 0 wrong controls; 183099 violate mass constrain.
Wed Jul  3 18:21:36 2013, (1749930000 clock):	185000 evaluated; 0 wrong controls; 184095 violate mass constrain.
Wed Jul  3 18:21:47 2013, (1760340000 clock):	186000 evaluated; 0 wrong controls; 185089 violate mass constrain.
Wed Jul  3 18:21:58 2013, (1770380000 clock):	187000 evaluated; 0 wrong controls; 186083 violate mass constrain.
Wed Jul  3 18:22:09 2013, (1780320000 clock):	188000 evaluated; 0 wrong controls; 187076 violate mass constrain.
Wed Jul  3 18:22:19 2013, (1789940000 clock):	189000 evaluated; 0 wrong controls; 188069 violate mass constrain.
Wed Jul  3 18:22:30 2013, (1800500000 clock):	190000 evaluated; 0 wrong controls; 189065 violate mass constrain.
Wed Jul  3 18:22:40 2013, (1810190000 clock):	191000 evaluated; 0 wrong controls; 190061 violate mass constrain.
Wed Jul  3 18:22:50 2013, (1819920000 clock):	192000 evaluated; 0 wrong controls; 191059 violate mass constrain.
Wed Jul  3 18:23:01 2013, (1829680000 clock):	193000 evaluated; 0 wrong controls; 192051 violate mass constrain.
Wed Jul  3 18:23:12 2013, (1840380000 clock):	194000 evaluated; 0 wrong controls; 193049 violate mass constrain.
Wed Jul  3 18:23:22 2013, (1849280000 clock):	195000 evaluated; 0 wrong controls; 194044 violate mass constrain.
Wed Jul  3 18:23:31 2013, (1858450000 clock):	196000 evaluated; 0 wrong controls; 195041 violate mass constrain.
Wed Jul  3 18:23:42 2013, (1868210000 clock):	197000 evaluated; 0 wrong controls; 196038 violate mass constrain.
Wed Jul  3 18:23:53 2013, (1879510000 clock):	198000 evaluated; 0 wrong controls; 197033 violate mass constrain.
Wed Jul  3 18:24:05 2013, (1890780000 clock):	199000 evaluated; 0 wrong controls; 198026 violate mass constrain.
Wed Jul  3 18:24:16 2013, (1901120000 clock):	200000 evaluated; 0 wrong controls; 199019 violate mass constrain.
Wed Jul  3 18:24:26 2013, (1910170000 clock):	201000 evaluated; 0 wrong controls; 200008 violate mass constrain.
Wed Jul  3 18:24:37 2013, (1920970000 clock):	202000 evaluated; 0 wrong controls; 201001 violate mass constrain.
Wed Jul  3 18:24:48 2013, (1931560000 clock):	203000 evaluated; 0 wrong controls; 201996 violate mass constrain.
