Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 16:56:24 2013, (1436130000 clock):	136000 evaluated; 0 wrong controls; 94471 violate mass constrain.
Tue Jun 11 16:56:38 2013, (1446680000 clock):	137000 evaluated; 0 wrong controls; 95154 violate mass constrain.
Tue Jun 11 16:56:48 2013, (1456890000 clock):	138000 evaluated; 0 wrong controls; 95832 violate mass constrain.
Tue Jun 11 16:57:01 2013, (1467280000 clock):	139000 evaluated; 0 wrong controls; 96522 violate mass constrain.
Tue Jun 11 16:57:11 2013, (1477060000 clock):	140000 evaluated; 0 wrong controls; 97234 violate mass constrain.
Tue Jun 11 16:57:24 2013, (1487350000 clock):	141000 evaluated; 0 wrong controls; 97908 violate mass constrain.
Tue Jun 11 16:57:35 2013, (1497920000 clock):	142000 evaluated; 0 wrong controls; 98576 violate mass constrain.
Tue Jun 11 16:57:48 2013, (1508470000 clock):	143000 evaluated; 0 wrong controls; 99262 violate mass constrain.
Tue Jun 11 16:57:58 2013, (1517970000 clock):	144000 evaluated; 0 wrong controls; 99966 violate mass constrain.
Tue Jun 11 16:58:08 2013, (1527830000 clock):	145000 evaluated; 0 wrong controls; 100646 violate mass constrain.
Tue Jun 11 16:58:21 2013, (1538490000 clock):	146000 evaluated; 0 wrong controls; 101340 violate mass constrain.
Tue Jun 11 16:58:31 2013, (1547940000 clock):	147000 evaluated; 0 wrong controls; 102040 violate mass constrain.
Tue Jun 11 16:58:44 2013, (1557440000 clock):	148000 evaluated; 0 wrong controls; 102739 violate mass constrain.
Tue Jun 11 16:58:54 2013, (1567710000 clock):	149000 evaluated; 0 wrong controls; 103420 violate mass constrain.
Tue Jun 11 16:59:07 2013, (1577820000 clock):	150000 evaluated; 0 wrong controls; 104107 violate mass constrain.
Tue Jun 11 16:59:17 2013, (1587630000 clock):	151000 evaluated; 0 wrong controls; 104788 violate mass constrain.
Tue Jun 11 16:59:31 2013, (1598710000 clock):	152000 evaluated; 0 wrong controls; 105486 violate mass constrain.
Tue Jun 11 16:59:42 2013, (1609600000 clock):	153000 evaluated; 0 wrong controls; 106183 violate mass constrain.
Tue Jun 11 16:59:57 2013, (1620840000 clock):	154000 evaluated; 0 wrong controls; 106857 violate mass constrain.
Tue Jun 11 17:00:08 2013, (1631440000 clock):	155000 evaluated; 0 wrong controls; 107549 violate mass constrain.
Tue Jun 11 17:00:18 2013, (1641900000 clock):	156000 evaluated; 0 wrong controls; 108219 violate mass constrain.
Tue Jun 11 17:00:31 2013, (1651460000 clock):	157000 evaluated; 0 wrong controls; 108907 violate mass constrain.
Tue Jun 11 17:00:41 2013, (1661360000 clock):	158000 evaluated; 0 wrong controls; 109614 violate mass constrain.
Tue Jun 11 17:00:57 2013, (1674710000 clock):	159000 evaluated; 0 wrong controls; 110288 violate mass constrain.
Tue Jun 11 17:01:07 2013, (1684060000 clock):	160000 evaluated; 0 wrong controls; 110983 violate mass constrain.
Tue Jun 11 17:01:19 2013, (1693540000 clock):	161000 evaluated; 0 wrong controls; 111685 violate mass constrain.
Tue Jun 11 17:01:31 2013, (1704840000 clock):	162000 evaluated; 0 wrong controls; 112347 violate mass constrain.
Tue Jun 11 17:01:43 2013, (1714500000 clock):	163000 evaluated; 0 wrong controls; 113042 violate mass constrain.
Tue Jun 11 17:01:54 2013, (1725150000 clock):	164000 evaluated; 0 wrong controls; 113719 violate mass constrain.
Tue Jun 11 17:02:04 2013, (1734980000 clock):	165000 evaluated; 0 wrong controls; 114421 violate mass constrain.
Tue Jun 11 17:02:17 2013, (1745130000 clock):	166000 evaluated; 0 wrong controls; 115104 violate mass constrain.
Tue Jun 11 17:02:27 2013, (1755010000 clock):	167000 evaluated; 0 wrong controls; 115792 violate mass constrain.
Tue Jun 11 17:02:41 2013, (1765870000 clock):	168000 evaluated; 0 wrong controls; 116461 violate mass constrain.
