Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 12:37:32 2013, (11289700000 clock):	143000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:38:51 2013, (11368530000 clock):	144000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:40:13 2013, (11449480000 clock):	145000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:41:34 2013, (11530280000 clock):	146000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:42:50 2013, (11605930000 clock):	147000 evaluated; 0 wrong controls; 9149 violate mass constrain.
Sat Jul  6 12:44:05 2013, (11680730000 clock):	148000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:45:23 2013, (11758340000 clock):	149000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:46:43 2013, (11837810000 clock):	150000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:48:02 2013, (11916380000 clock):	151000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:49:23 2013, (11996190000 clock):	152000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:50:43 2013, (12075640000 clock):	153000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:52:01 2013, (12153960000 clock):	154000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:53:22 2013, (12233620000 clock):	155000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:54:41 2013, (12312900000 clock):	156000 evaluated; 0 wrong controls; 9442 violate mass constrain.
Sat Jul  6 12:55:55 2013, (12386060000 clock):	157000 evaluated; 0 wrong controls; 9724 violate mass constrain.
Sat Jul  6 12:57:11 2013, (12461160000 clock):	158000 evaluated; 0 wrong controls; 9988 violate mass constrain.
Sat Jul  6 12:58:31 2013, (12540850000 clock):	159000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 12:59:49 2013, (12618600000 clock):	160000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:01:08 2013, (12697100000 clock):	161000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:02:28 2013, (12776940000 clock):	162000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:03:46 2013, (12854690000 clock):	163000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:05:05 2013, (12932870000 clock):	164000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:06:24 2013, (13011470000 clock):	165000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:07:43 2013, (13090220000 clock):	166000 evaluated; 0 wrong controls; 9997 violate mass constrain.
Sat Jul  6 13:09:00 2013, (13166900000 clock):	167000 evaluated; 0 wrong controls; 10220 violate mass constrain.
Sat Jul  6 13:10:14 2013, (13239730000 clock):	168000 evaluated; 0 wrong controls; 10496 violate mass constrain.
Sat Jul  6 13:11:32 2013, (13317730000 clock):	169000 evaluated; 0 wrong controls; 10511 violate mass constrain.
Sat Jul  6 13:12:51 2013, (13396720000 clock):	170000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:14:12 2013, (13476780000 clock):	171000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:15:33 2013, (13557370000 clock):	172000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:16:52 2013, (13636540000 clock):	173000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:18:11 2013, (13715150000 clock):	174000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:19:31 2013, (13794580000 clock):	175000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:20:52 2013, (13874410000 clock):	176000 evaluated; 0 wrong controls; 10513 violate mass constrain.
Sat Jul  6 13:22:09 2013, (13950960000 clock):	177000 evaluated; 0 wrong controls; 10703 violate mass constrain.
Sat Jul  6 13:23:23 2013, (14025030000 clock):	178000 evaluated; 0 wrong controls; 10996 violate mass constrain.
